"","tconst","averageRating"
"153","tt0013597",5.9
"154","tt0013626",6.8
"155","tt0013662",7.3
"156","tt0013674",7.1
"157","tt0013688",6.7
"158","tt0013741",6.6
"159","tt0013802",6.9
"160","tt0014029",7.7
"161","tt0014109",7.3
"162","tt0014142",7.3
"163","tt0014341",7.9
"164","tt0014358",7.5
"165","tt0014417",7.6
"166","tt0014429",8.2
"167","tt0014440",7.2
"168","tt0014446",6.8
"169","tt0014497",7.3
"170","tt0014524",6.7
"171","tt0014532",7
"172","tt0014538",7.1
"173","tt0014586",6.8
"174","tt0014605",7
"175","tt0014611",7.5
"176","tt0014624",7.1
"177","tt0014646",6.6
"178","tt0014672",6.5
"179","tt0014702",6.9
"180","tt0014760",7.1
"181","tt0014770",6.7
"182","tt0014900",6.6
"183","tt0014945",7.9
"184","tt0014972",7.9
"185","tt0015002",7.3
"186","tt0015014",7.4
"187","tt0015016",7.3
"188","tt0015036",6.8
"189","tt0015039",7.4
"190","tt0015064",8.1
"191","tt0015119",7.4
"192","tt0015136",7.3
"193","tt0015152",6.5
"194","tt0015163",8
"195","tt0015167",6.8
"196","tt0015174",7.9
"197","tt0015175",8.1
"198","tt0015202",7.1
"199","tt0015213",6.9
"200","tt0015224",7.4
"201","tt0015268",7.2
"202","tt0015310",7.2
"203","tt0015324",8.3
"204","tt0015361",7.6
"205","tt0015400",7.9
"206","tt0015493",6.4
"207","tt0015498",7
"208","tt0015532",7.9
"209","tt0015589",6.2
"210","tt0015624",8.2
"211","tt0015634",6.2
"212","tt0015648",8
"213","tt0015684",6.7
"214","tt0015687",6.8
"215","tt0015693",7.4
"216","tt0015758",7.1
"217","tt0015768",7.2
"218","tt0015801",7.1
"219","tt0015841",7.6
"220","tt0015842",7.4
"221","tt0015863",7.3
"222","tt0015864",8.2
"223","tt0015873",7.8
"224","tt0015881",7.9
"225","tt0016004",7.5
"226","tt0016013",7.7
"227","tt0016022",5.9
"228","tt0016029",7.1
"229","tt0016039",7.1
"230","tt0016104",8.1
"231","tt0016123",6.3
"232","tt0016201",6.2
"233","tt0016220",7.7
"234","tt0016226",6.3
"235","tt0016230",6
"236","tt0016232",7.1
"237","tt0016258",7.2
"238","tt0016276",6.4
"239","tt0016310",6.8
"240","tt0016332",8
"241","tt0016392",6.2
"242","tt0016394",8
"243","tt0016473",7.3
"244","tt0016480",6.9
"245","tt0016481",7.6
"246","tt0016493",6.9
"247","tt0016544",5.2
"248","tt0016627",7.9
"249","tt0016629",6.7
"250","tt0016630",7.2
"251","tt0016634",7
"252","tt0016640",6.6
"253","tt0016641",8
"254","tt0016654",7.2
"255","tt0016655",6.9
"256","tt0016669",7.9
"257","tt0016672",4.8
"258","tt0016690",8.2
"259","tt0016691",7
"260","tt0016804",7.2
"261","tt0016822",7.9
"262","tt0016832",7.1
"263","tt0016847",8.1
"264","tt0016884",8.1
"265","tt0016895",7.6
"266","tt0016914",7
"267","tt0016939",6.4
"268","tt0016953",6.7
"269","tt0017029",7.4
"270","tt0017048",7.6
"271","tt0017075",7.3
"272","tt0017103",6.8
"273","tt0017119",7.1
"274","tt0017120",7
"275","tt0017128",7.7
"276","tt0017136",8.3
"277","tt0017162",6.9
"278","tt0017196",6.9
"279","tt0017226",7.1
"280","tt0017271",7.9
"281","tt0017350",7.8
"282","tt0017372",6.8
"283","tt0017374",5.9
"284","tt0017376",7.5
"285","tt0017416",7.4
"286","tt0017418",7
"287","tt0017423",7.5
"288","tt0017437",6.8
"289","tt0017448",7.3
"290","tt0017449",7
"291","tt0017463",7.6
"292","tt0017534",7.8
"293","tt0017540",7.2
"294","tt0017567",7.5
"295","tt0017621",6.2
"296","tt0017632",7.6
"297","tt0017668",7.7
"298","tt0017739",7.2
"299","tt0017743",7.1
"300","tt0017750",7.3
"301","tt0017765",7.1
"302","tt0017809",7.4
"303","tt0017825",6.2
"304","tt0017843",5.7
"305","tt0017918",7.3
"306","tt0017925",8.2
"307","tt0017961",7.6
"308","tt0017998",7.3
"309","tt0018033",7.4
"310","tt0018037",6.7
"311","tt0018051",7.7
"312","tt0018054",7.4
"313","tt0018066",7.6
"314","tt0018097",6.9
"315","tt0018102",6.5
"316","tt0018107",7.4
"317","tt0018166",6.8
"318","tt0018179",6.6
"319","tt0018183",7.6
"320","tt0018187",7.3
"321","tt0018192",7.6
"322","tt0018217",7.5
"323","tt0018218",6.4
"324","tt0018253",7.8
"325","tt0018311",7.8
"326","tt0018328",6.3
"327","tt0018379",7.8
"328","tt0018392",7.2
"329","tt0018397",7
"330","tt0018440",7.7
"331","tt0018451",7.8
"332","tt0018455",8.2
"333","tt0018471",7.9
"334","tt0018515",6.8
"335","tt0018523",6.9
"336","tt0018526",7.7
"337","tt0018528",7.9
"338","tt0018530",6.3
"339","tt0018566",7.1
"340","tt0018578",7.7
"341","tt0018618",7.2
"342","tt0018737",8
"343","tt0018742",8.3
"344","tt0018756",5.7
"345","tt0018770",7.4
"346","tt0018773",8.1
"347","tt0018795",7.9
"348","tt0018806",8
"349","tt0018826",7
"350","tt0018836",7.1
"351","tt0018839",7.7
"352","tt0018876",6
"353","tt0018908",7.2
"354","tt0018909",7.1
"355","tt0018935",6.8
"356","tt0018937",6.8
"357","tt0018972",6.6
"358","tt0019067",7
"359","tt0019071",8
"360","tt0019074",7.7
"361","tt0019096",7.2
"362","tt0019109",8
"363","tt0019130",7.8
"364","tt0019195",7.3
"365","tt0019225",7
"366","tt0019237",7.3
"367","tt0019254",8.2
"368","tt0019258",8.1
"369","tt0019286",7.3
"370","tt0019304",7
"371","tt0019344",7.9
"372","tt0019379",8.2
"373","tt0019400",8
"374","tt0019403",7.8
"375","tt0019412",7.7
"376","tt0019415",7.7
"377","tt0019421",8
"378","tt0019429",7.5
"379","tt0019434",7.6
"380","tt0019451",7
"381","tt0019486",6.4
"382","tt0019489",7.1
"383","tt0019509",7.4
"384","tt0019532",6.8
"385","tt0019557",6.6
"386","tt0019558",7.6
"387","tt0019563",7.3
"388","tt0019571",6.7
"389","tt0019574",7.1
"390","tt0019585",8.3
"391","tt0019591",7.7
"392","tt0019611",7.3
"393","tt0019630",6
"394","tt0019644",7.3
"395","tt0019646",7.9
"396","tt0019649",7.4
"397","tt0019655",7.6
"398","tt0019684",4.9
"399","tt0019699",6.1
"400","tt0019702",7
"401","tt0019725",7
"402","tt0019726",6.6
"403","tt0019729",6.2
"404","tt0019735",6.5
"405","tt0019760",8.4
"406","tt0019777",7.2
"407","tt0019788",7.1
"408","tt0019813",7.1
"409","tt0019823",6.4
"410","tt0019824",6.3
"411","tt0019843",7.2
"412","tt0019850",7.4
"413","tt0019886",6.7
"414","tt0019901",7.4
"415","tt0019935",7.3
"416","tt0019946",6.2
"417","tt0019959",6.9
"418","tt0019993",7.4
"419","tt0020018",5.7
"420","tt0020030",7.6
"421","tt0020062",7
"422","tt0020075",7.3
"423","tt0020092",6.8
"424","tt0020103",6.1
"425","tt0020112",7.2
"426","tt0020114",6.7
"427","tt0020122",8
"428","tt0020142",6.3
"429","tt0020163",7.5
"430","tt0020198",6.1
"431","tt0020210",7.7
"432","tt0020217",6.3
"433","tt0020223",6.6
"434","tt0020230",7.6
"435","tt0020247",5.7
"436","tt0020269",7.3
"437","tt0020298",7.8
"438","tt0020336",6.5
"439","tt0020425",5.7
"440","tt0020439",7.6
"441","tt0020442",7.1
"442","tt0020446",4.7
"443","tt0020466",6.7
"444","tt0020475",8
"445","tt0020479",7.1
"446","tt0020488",5.9
"447","tt0020499",6.7
"448","tt0020514",7.8
"449","tt0020523",7.2
"450","tt0020556",7
"451","tt0020570",7.3
"452","tt0020581",6.9
"453","tt0020585",7.4
"454","tt0020589",6.8
"455","tt0020590",6.4
"456","tt0020594",7
"457","tt0020620",5.8
"458","tt0020629",8.1
"459","tt0020640",7.7
"460","tt0020641",6.9
"461","tt0020656",7.3
"462","tt0020668",6.5
"463","tt0020686",7.2
"464","tt0020691",7.2
"465","tt0020693",6.2
"466","tt0020695",6
"467","tt0020697",7.8
"468","tt0020701",6.4
"469","tt0020702",5.4
"470","tt0020713",6.7
"471","tt0020768",7.9
"472","tt0020793",7.7
"473","tt0020799",6.4
"474","tt0020814",7
"475","tt0020815",7.8
"476","tt0020821",6.7
"477","tt0020827",6.9
"478","tt0020836",6.6
"479","tt0020838",5.8
"480","tt0020852",5.7
"481","tt0020876",6.8
"482","tt0020891",7.7
"483","tt0020902",5.6
"484","tt0020919",7.7
"485","tt0020945",6.3
"486","tt0020960",7.7
"487","tt0020980",6.5
"488","tt0020987",6.4
"489","tt0021015",4.8
"490","tt0021016",5.5
"491","tt0021025",7.4
"492","tt0021040",6.8
"493","tt0021042",6
"494","tt0021060",6.5
"495","tt0021074",6.7
"496","tt0021079",7.3
"497","tt0021087",6
"498","tt0021100",5.7
"499","tt0021106",6.7
"500","tt0021110",6.3
"501","tt0021140",5.9
"502","tt0021148",7.3
"503","tt0021153",7
"504","tt0021156",7.3
"505","tt0021165",6.4
"506","tt0021189",7.6
"507","tt0021197",6.3
"508","tt0021223",5.6
"509","tt0021228",5.8
"510","tt0021240",6.8
"511","tt0021273",7
"512","tt0021281",6.9
"513","tt0021282",5.9
"514","tt0021283",6.5
"515","tt0021294",7.4
"516","tt0021309",8
"517","tt0021310",6
"518","tt0021331",7.5
"519","tt0021345",5.5
"520","tt0021371",7
"521","tt0021375",7.1
"522","tt0021394",6.5
"523","tt0021406",7
"524","tt0021408",6
"525","tt0021409",7.3
"526","tt0021413",7.2
"527","tt0021472",5.8
"528","tt0021505",6.8
"529","tt0021508",6.1
"530","tt0021542",7.6
"531","tt0021549",7.7
"532","tt0021550",5.9
"533","tt0021551",6.8
"534","tt0021568",6.6
"535","tt0021571",7.4
"536","tt0021577",7.5
"537","tt0021595",6.1
"538","tt0021607",6.6
"539","tt0021622",6.2
"540","tt0021632",6.3
"541","tt0021633",7.7
"542","tt0021635",6.7
"543","tt0021647",7
"544","tt0021649",6.3
"545","tt0021668",7.1
"546","tt0021673",7.1
"547","tt0021730",7.3
"548","tt0021733",7.6
"549","tt0021739",7.7
"550","tt0021746",6
"551","tt0021749",8.6
"552","tt0021750",7.2
"553","tt0021761",6
"554","tt0021763",5
"555","tt0021768",6.3
"556","tt0021770",7.1
"557","tt0021778",5.9
"558","tt0021780",7.8
"559","tt0021799",6.4
"560","tt0021800",7.3
"561","tt0021807",6.6
"562","tt0021814",7.6
"563","tt0021818",7.5
"564","tt0021836",7.2
"565","tt0021873",7.3
"566","tt0021874",7.9
"567","tt0021884",7.9
"568","tt0021885",6.7
"569","tt0021890",6.8
"570","tt0021910",7.9
"571","tt0021917",5
"572","tt0021919",6
"573","tt0021931",6.6
"574","tt0021933",7.2
"575","tt0021969",6.7
"576","tt0021992",6.2
"577","tt0022002",6.2
"578","tt0022017",7.6
"579","tt0022021",6
"580","tt0022026",7.4
"581","tt0022054",7.8
"582","tt0022059",4.9
"583","tt0022074",7.8
"584","tt0022080",7.4
"585","tt0022100",8.4
"586","tt0022103",6.6
"587","tt0022111",7.3
"588","tt0022117",7.1
"589","tt0022119",6.3
"590","tt0022125",7.9
"591","tt0022149",6.3
"592","tt0022150",7.6
"593","tt0022151",7.2
"594","tt0022153",7.3
"595","tt0022158",7.6
"596","tt0022183",7.8
"597","tt0022191",5.8
"598","tt0022208",7.1
"599","tt0022235",6.9
"600","tt0022236",6.6
"601","tt0022251",7
"602","tt0022254",6
"603","tt0022264",7.5
"604","tt0022268",6.9
"605","tt0022276",6.8
"606","tt0022279",6.9
"607","tt0022286",7.7
"608","tt0022335",7.1
"609","tt0022353",5.9
"610","tt0022357",6.4
"611","tt0022382",5.6
"612","tt0022386",6.7
"613","tt0022395",5.8
"614","tt0022397",6.3
"615","tt0022403",6.9
"616","tt0022409",4.5
"617","tt0022430",6.4
"618","tt0022436",7.7
"619","tt0022440",6.2
"620","tt0022453",6.5
"621","tt0022454",6.9
"622","tt0022458",7.6
"623","tt0022485",7.4
"624","tt0022495",6.4
"625","tt0022531",7.1
"626","tt0022537",6.1
"627","tt0022550",7.6
"628","tt0022599",7.6
"629","tt0022619",6.1
"630","tt0022626",7.5
"631","tt0022628",6.5
"632","tt0022635",7.4
"633","tt0022639",7
"634","tt0022660",6.9
"635","tt0022676",6.3
"636","tt0022681",5.8
"637","tt0022682",7.1
"638","tt0022689",6.1
"639","tt0022694",6.9
"640","tt0022696",7.2
"641","tt0022698",7.2
"642","tt0022700",7.7
"643","tt0022718",7.5
"644","tt0022725",7.7
"645","tt0022735",7.1
"646","tt0022737",7.1
"647","tt0022753",6.3
"648","tt0022755",7.9
"649","tt0022775",6.9
"650","tt0022778",6.4
"651","tt0022787",7.8
"652","tt0022792",6.4
"653","tt0022802",7.2
"654","tt0022827",6.5
"655","tt0022834",7.7
"656","tt0022835",7.7
"657","tt0022854",7.1
"658","tt0022873",6.8
"659","tt0022877",7.7
"660","tt0022879",6.6
"661","tt0022882",8
"662","tt0022905",7
"663","tt0022913",7.9
"664","tt0022921",4.8
"665","tt0022958",7.6
"666","tt0022979",6.4
"667","tt0022981",5.5
"668","tt0022990",6.9
"669","tt0023027",7.7
"670","tt0023028",6.6
"671","tt0023038",5.6
"672","tt0023042",8.1
"673","tt0023049",7.2
"674","tt0023074",7.5
"675","tt0023101",6.6
"676","tt0023125",6.7
"677","tt0023137",7.6
"678","tt0023145",5.8
"679","tt0023151",6.5
"680","tt0023158",7.7
"681","tt0023180",6.7
"682","tt0023181",7.5
"683","tt0023194",6.4
"684","tt0023196",6.7
"685","tt0023198",7
"686","tt0023202",6.8
"687","tt0023225",7.1
"688","tt0023236",4.1
"689","tt0023238",7.2
"690","tt0023240",7.1
"691","tt0023241",7.2
"692","tt0023243",5.7
"693","tt0023245",7.2
"694","tt0023249",6.4
"695","tt0023261",6.9
"696","tt0023268",7
"697","tt0023271",7
"698","tt0023277",6.7
"699","tt0023284",6.7
"700","tt0023285",5.8
"701","tt0023293",7.3
"702","tt0023303",7.4
"703","tt0023305",8
"704","tt0023312",7.3
"705","tt0023322",6
"706","tt0023326",7
"707","tt0023327",7
"708","tt0023331",6.8
"709","tt0023335",6.7
"710","tt0023345",7.6
"711","tt0023349",7.3
"712","tt0023362",6.5
"713","tt0023369",6.9
"714","tt0023374",6.7
"715","tt0023382",7.4
"716","tt0023385",7.1
"717","tt0023394",7.1
"718","tt0023395",5.9
"719","tt0023396",5.4
"720","tt0023427",7.8
"721","tt0023450",7.1
"722","tt0023456",5.8
"723","tt0023458",7.4
"724","tt0023469",6
"725","tt0023470",6.9
"726","tt0023486",7.2
"727","tt0023488",7
"728","tt0023491",7.2
"729","tt0023495",5.8
"730","tt0023498",6
"731","tt0023537",6.9
"732","tt0023551",7.2
"733","tt0023556",6.7
"734","tt0023563",7.9
"735","tt0023582",6.3
"736","tt0023583",5.9
"737","tt0023584",6.8
"738","tt0023589",6.6
"739","tt0023590",7.3
"740","tt0023594",6.5
"741","tt0023622",8.2
"742","tt0023629",7
"743","tt0023634",8.1
"744","tt0023642",7.1
"745","tt0023649",7.6
"746","tt0023655",5.2
"747","tt0023659",7.1
"748","tt0023685",6.4
"749","tt0023686",7.6
"750","tt0023694",6.4
"751","tt0023701",6.2
"752","tt0023720",6.4
"753","tt0023731",7.1
"754","tt0023753",6.5
"755","tt0023758",6
"756","tt0023775",7.6
"757","tt0023786",6.5
"758","tt0023790",6
"759","tt0023793",6
"760","tt0023794",6.6
"761","tt0023814",7.1
"762","tt0023817",6.7
"763","tt0023825",7.3
"764","tt0023838",7.1
"765","tt0023846",6.2
"766","tt0023847",7
"767","tt0023871",7.8
"768","tt0023876",6
"769","tt0023878",6.4
"770","tt0023881",7.9
"771","tt0023891",6.4
"772","tt0023902",7.8
"773","tt0023911",7.6
"774","tt0023926",6.7
"775","tt0023935",6.1
"776","tt0023937",7.5
"777","tt0023939",6.7
"778","tt0023940",7.6
"779","tt0023943",7.2
"780","tt0023948",7.8
"781","tt0023955",6.6
"782","tt0023956",6.6
"783","tt0023960",6.9
"784","tt0023969",8
"785","tt0023973",7.1
"786","tt0023982",6.2
"787","tt0023985",6.5
"788","tt0023986",7.3
"789","tt0023990",7.1
"790","tt0023993",7
"791","tt0024008",6.8
"792","tt0024025",6.7
"793","tt0024028",7.7
"794","tt0024034",7.6
"795","tt0024044",6.5
"796","tt0024055",5.9
"797","tt0024067",7.8
"798","tt0024069",8.1
"799","tt0024083",7
"800","tt0024090",6.9
"801","tt0024100",6.6
"802","tt0024115",7.8
"803","tt0024120",7.1
"804","tt0024124",5.7
"805","tt0024130",6.9
"806","tt0024144",7.3
"807","tt0024166",7
"808","tt0024183",7.2
"809","tt0024184",7.7
"810","tt0024188",7.5
"811","tt0024214",7.2
"812","tt0024216",7.9
"813","tt0024238",6.7
"814","tt0024239",7
"815","tt0024240",7.5
"816","tt0024252",7.7
"817","tt0024262",7.1
"818","tt0024264",7.4
"819","tt0024269",7.1
"820","tt0024293",5.3
"821","tt0024301",5.7
"822","tt0024302",7.4
"823","tt0024307",6.6
"824","tt0024314",7
"825","tt0024334",7.1
"826","tt0024339",6.7
"827","tt0024353",6.6
"828","tt0024359",6.3
"829","tt0024360",6.7
"830","tt0024368",6.9
"831","tt0024373",6.3
"832","tt0024381",6.3
"833","tt0024402",7.3
"834","tt0024411",6.8
"835","tt0024414",6.8
"836","tt0024429",6.3
"837","tt0024433",7.9
"838","tt0024435",6.9
"839","tt0024453",7.3
"840","tt0024455",6.6
"841","tt0024465",6.9
"842","tt0024471",6.7
"843","tt0024473",7.2
"844","tt0024475",6.4
"845","tt0024476",6.2
"846","tt0024481",7.8
"847","tt0024484",6.7
"848","tt0024500",5.6
"849","tt0024514",6.5
"850","tt0024516",5.4
"851","tt0024539",7.5
"852","tt0024548",6.5
"853","tt0024549",5.9
"854","tt0024553",5.9
"855","tt0024554",5.4
"856","tt0024559",6.1
"857","tt0024592",5.5
"858","tt0024593",5.8
"859","tt0024600",7.6
"860","tt0024601",7.7
"861","tt0024610",6.9
"862","tt0024617",7.2
"863","tt0024620",7
"864","tt0024625",5.7
"865","tt0024631",6.3
"866","tt0024633",6.8
"867","tt0024645",5.3
"868","tt0024647",6
"869","tt0024651",7.8
"870","tt0024663",5.5
"871","tt0024674",6.5
"872","tt0024675",5.7
"873","tt0024676",7.2
"874","tt0024684",6.9
"875","tt0024685",6.8
"876","tt0024703",6.2
"877","tt0024710",7.3
"878","tt0024727",5.7
"879","tt0024747",6.1
"880","tt0024762",5.6
"881","tt0024763",6.9
"882","tt0024768",5.4
"883","tt0024772",7.5
"884","tt0024793",7.1
"885","tt0024800",6.9
"886","tt0024805",5.1
"887","tt0024819",6.4
"888","tt0024830",7.4
"889","tt0024831",7.1
"890","tt0024844",7.9
"891","tt0024851",6.2
"892","tt0024852",7.4
"893","tt0024854",6.6
"894","tt0024865",7
"895","tt0024873",6.6
"896","tt0024894",7.1
"897","tt0024895",6.1
"898","tt0024902",5.4
"899","tt0024906",6.3
"900","tt0024914",7.3
"901","tt0024916",6.8
"902","tt0024951",7.5
"903","tt0024958",6.9
"904","tt0024961",6.9
"905","tt0024962",6.5
"906","tt0024963",5.9
"907","tt0024966",7.4
"908","tt0024968",7.4
"909","tt0024969",8
"910","tt0024978",6.2
"911","tt0024989",6.7
"912","tt0024991",6.9
"913","tt0025004",7.6
"914","tt0025028",7.2
"915","tt0025031",6
"916","tt0025037",7.2
"917","tt0025046",6.5
"918","tt0025054",4.7
"919","tt0025068",6.2
"920","tt0025091",6.9
"921","tt0025094",7
"922","tt0025117",6.4
"923","tt0025124",5.8
"924","tt0025129",7
"925","tt0025132",6.1
"926","tt0025161",6.8
"927","tt0025164",7.6
"928","tt0025173",6.7
"929","tt0025176",6.1
"930","tt0025189",6.8
"931","tt0025198",7.3
"932","tt0025202",6.2
"933","tt0025214",6.6
"934","tt0025228",7.3
"935","tt0025238",6.4
"936","tt0025239",7.2
"937","tt0025251",7
"938","tt0025263",6.3
"939","tt0025272",6.8
"940","tt0025301",7.6
"941","tt0025303",6.2
"942","tt0025316",8.1
"943","tt0025318",7.4
"944","tt0025329",6.6
"945","tt0025330",7.1
"946","tt0025335",6.4
"947","tt0025338",7
"948","tt0025345",6
"949","tt0025346",5.9
"950","tt0025347",7.7
"951","tt0025351",6.1
"952","tt0025373",5.1
"953","tt0025393",6.7
"954","tt0025397",7
"955","tt0025410",7.1
"956","tt0025423",6.9
"957","tt0025440",5.6
"958","tt0025452",6.9
"959","tt0025455",5.2
"960","tt0025456",7.5
"961","tt0025461",7.1
"962","tt0025464",7.2
"963","tt0025465",3.4
"964","tt0025471",6.9
"965","tt0025478",7.8
"966","tt0025480",6.1
"967","tt0025493",7.5
"968","tt0025499",5.6
"969","tt0025509",8.1
"970","tt0025536",8
"971","tt0025555",6.1
"972","tt0025580",6.6
"973","tt0025586",7.3
"974","tt0025590",7.7
"975","tt0025601",5.9
"976","tt0025607",7.8
"977","tt0025610",7.2
"978","tt0025617",6.7
"979","tt0025681",6.4
"980","tt0025699",5.4
"981","tt0025704",6
"982","tt0025718",6.4
"983","tt0025725",4.8
"984","tt0025731",6.9
"985","tt0025740",6.6
"986","tt0025746",7.7
"987","tt0025748",7.6
"988","tt0025763",7.1
"989","tt0025774",6.4
"990","tt0025791",7.5
"991","tt0025799",6.9
"992","tt0025829",5.7
"993","tt0025830",5.3
"994","tt0025833",5.9
"995","tt0025844",6.6
"996","tt0025862",7.6
"997","tt0025878",8.1
"998","tt0025880",7
"999","tt0025883",6.5
"1000","tt0025898",7.4
"1001","tt0025903",5.4
"1002","tt0025907",7.2
"1003","tt0025911",6.7
"1004","tt0025913",7.5
"1005","tt0025919",7.8
"1006","tt0025920",6.5
"1007","tt0025929",7.9
"1008","tt0025935",6.5
"1009","tt0025942",6.5
"1010","tt0025946",7.2
"1011","tt0025948",6.5
"1012","tt0025964",6.2
"1013","tt0025965",6.3
"1014","tt0025969",5.3
"1015","tt0026003",6
"1016","tt0026007",7
"1017","tt0026008",6
"1018","tt0026017",7.6
"1019","tt0026023",6.6
"1020","tt0026029",7.8
"1021","tt0026043",6.3
"1022","tt0026046",7
"1023","tt0026047",6.1
"1024","tt0026055",6.1
"1025","tt0026056",7
"1026","tt0026071",7.1
"1027","tt0026073",6.8
"1028","tt0026075",6
"1029","tt0026095",7
"1030","tt0026097",6.8
"1031","tt0026104",6
"1032","tt0026113",5.9
"1033","tt0026119",7.2
"1034","tt0026121",6.6
"1035","tt0026123",7
"1036","tt0026126",6.9
"1037","tt0026129",7.1
"1038","tt0026132",6.8
"1039","tt0026137",6.5
"1040","tt0026138",7.9
"1041","tt0026139",6.3
"1042","tt0026144",6.8
"1043","tt0026164",6.9
"1044","tt0026174",7.8
"1045","tt0026180",6.4
"1046","tt0026184",6.7
"1047","tt0026185",6.6
"1048","tt0026187",6.2
"1049","tt0026193",5.6
"1050","tt0026195",4.6
"1051","tt0026197",7.1
"1052","tt0026198",7.5
"1053","tt0026199",7.4
"1054","tt0026205",7
"1055","tt0026246",7
"1056","tt0026249",6.7
"1057","tt0026252",6.9
"1058","tt0026261",7.1
"1059","tt0026262",6.8
"1060","tt0026264",6.8
"1061","tt0026266",7.5
"1062","tt0026267",5.2
"1063","tt0026273",5.4
"1064","tt0026275",6.1
"1065","tt0026276",7.2
"1066","tt0026292",6.8
"1067","tt0026293",6.6
"1068","tt0026313",5.9
"1069","tt0026361",7.1
"1070","tt0026373",6.7
"1071","tt0026385",6.2
"1072","tt0026388",7.1
"1073","tt0026393",7.2
"1074","tt0026400",6.8
"1075","tt0026406",6.9
"1076","tt0026409",7.1
"1077","tt0026417",5.3
"1078","tt0026419",6.8
"1079","tt0026421",7.5
"1080","tt0026424",7.8
"1081","tt0026452",7.1
"1082","tt0026465",6.3
"1083","tt0026507",5.6
"1084","tt0026519",7
"1085","tt0026529",7.5
"1086","tt0026564",7.7
