"","tconst","movielensid","primaryTitle","startYear","runtimeMinutes"
"43","tt0006745",73480,"gretchen the greenhorn",1916,"58"
"44","tt0006753",130267,"the half-breed",1916,"73"
"45","tt0006780",72315,"hell's hinges",1916,"64"
"46","tt0006809",147770,"his picture in the papers",1916,"62"
"47","tt0006826",92691,"hoodoo ann",1916,"65"
"48","tt0006864",7243,"intolerance: love's struggle throughout the ages",1916,"163"
"49","tt0006886",91562,"judex",1916,"300"
"50","tt0006895",147043,"king lear",1916,"63"
"51","tt0007183",168950,"the queen of spades",1916,"63"
"52","tt0007338",148638,"sherlock holmes",1916,"116"
"53","tt0007361",72921,"snow white",1916,"63"
"54","tt0007558",101375,"where are my children?",1916,"62"
"55","tt0007610",143681,"'49-'17",1917,"61"
"56","tt0008329",167812,"mothers of men",1917,"60"
"57","tt0008395",48374,"father sergius",1918,"112"
"58","tt0008443",123532,"the poor little rich girl",1917,"65"
"59","tt0008536",176275,"satan triumphant",1917,"87"
"60","tt0008550",170491,"the secret game",1917,"67"
"61","tt0008634",96706,"straight shooting",1917,"57"
"62","tt0008663",78629,"a man there was",1917,"48"
"63","tt0008710",126993,"girl from stormy croft",1917,"87"
"64","tt0008775",170879,"wild and woolly",1917,"72"
"65","tt0008827",144476,"amarilly of clothes-line alley",1918,"67"
"66","tt0008879",82332,"the outlaw and his wife",1918,"136"
"67","tt0008891",92231,"the blue bird",1918,"75"
"68","tt0008950",107632,"carmen",1918,"70"
"69","tt0009062",71705,"the merry jail",1917,"48"
"70","tt0009369",150964,"mickey",1918,"93"
"71","tt0009440",157623,"old wives for new",1918,"60"
"72","tt0009611",71792,"shoulder arms",1918,"45"
"73","tt0009652",100054,"stella maris",1918,"84"
"74","tt0009796",157625,"the whispering chorus",1918,"86"
"75","tt0009878",82390,"different from the others",1919,"50"
"76","tt0009893",110512,"the oyster princess",1919,"58"
"77","tt0009937",69233,"blind husbands",1919,"99"
"78","tt0009968",6988,"broken blossoms",1919,"90"
"79","tt0009976",97821,"the busher",1919,"63"
"80","tt0010040",3132,"daddy-long-legs",1919,"85"
"81","tt0010060",174331,"the delicious little devil",1919,"63"
"82","tt0010071",89977,"don't change your husband",1919,"71"
"83","tt0010195",144027,"the grim game",1919,"71"
"84","tt0010208",84838,"harakiri",1919,"80"
"85","tt0010247",117905,"sir arne's treasure",1919,"122"
"86","tt0010267",124525,"the hoodlum",1919,"78"
"87","tt0010281",109640,"i don't want to be a man",1918,"45"
"88","tt0010307",78690,"j'accuse!",1919,"166"
"89","tt0010323",6987,"the cabinet of dr. caligari",1920,"76"
"90","tt0010418",2821,"male and female",1919,"116"
"91","tt0010726",2823,"die spinnen, 1. teil - der goldene see",1919,"81"
"92","tt0010806",72674,"true heart susie",1919,"87"
"93","tt0010821",90907,"eerie tales",1919,"112"
"94","tt0011000",47131,"leaves from satan's book",1920,"167"
"95","tt0011130",25736,"dr. jekyll and mr. hyde",1920,"49"
"96","tt0011157",134791,"erotikon",1920,"106"
"97","tt0011193",134015,"the flapper",1920,"88"
"98","tt0011237",25737,"the golem",1920,"91"
"99","tt0011358",57482,"just pals",1920,"50"
"100","tt0011362",126995,"karin ingmarsdotter",1920,"115"
"101","tt0011370",126997,"klostret i sendomir",1920,"54"
"102","tt0011387",25738,"the last of the mohicans",1920,"73"
"103","tt0011401",167704,"the life of the party",1920,"50"
"104","tt0011439",59945,"the mark of zorro",1920,"107"
"105","tt0011565",60145,"the penalty",1920,"90"
"106","tt0011652",3231,"the saphead",1920,"77"
"107","tt0011723",84836,"die spinnen, 2. teil - das brillantenschiff",1920,"104"
"108","tt0011833",128681,"from morn to midnight",1920,"65"
"109","tt0011841",7077,"way down east",1920,"145"
"110","tt0011865",150798,"why change your wife?",1920,"90"
"111","tt0011870",53853,"within our gates",1920,"79"
"112","tt0011904",45707,"the ace of hearts",1921,"75"
"113","tt0011908",78057,"the adventures of tarzan",1921,"60"
"114","tt0011909",63007,"the affairs of anatol",1921,"117"
"115","tt0011960",80144,"the wildcat",1921,"79"
"116","tt0011979",94941,"the blot",1921,"91"
"117","tt0012027",159714,"camille",1921,"72"
"118","tt0012136",156678,"enchantment",1921,"90"
"119","tt0012190",43822,"the four horsemen of the apocalypse",1921,"150"
"120","tt0012281",112056,"hintertreppe",1921,"50"
"121","tt0012349",3310,"the kid",1921,"68"
"122","tt0012364",25741,"the phantom carriage",1921,"100"
"123","tt0012408",142756,"the love light",1921,"89"
"124","tt0012465",150800,"miss lulu bett",1921,"71"
"125","tt0012486",79278,"my boy",1921,"55"
"126","tt0012494",25742,"destiny",1921,"114"
"127","tt0012532",6499,"orphans of the storm",1921,"150"
"128","tt0012645",111885,"mad love",1921,"82"
"129","tt0012651",81435,"the haunted castle",1921,"75"
"130","tt0012675",25743,"the sheik",1921,"86"
"131","tt0012752",59954,"the three musketeers",1921,"119"
"132","tt0012763",47501,"tol'able david",1921,"99"
"133","tt0012881",157869,"the adventures of robinson crusoe",1922,"360"
"134","tt0012938",46199,"beyond the rocks",1922,"80"
"135","tt0012952",149860,"blood and sand",1922,"80"
"136","tt0013059",86664,"der var engang",1922,"75"
"137","tt0013075",65227,"dr. jack",1922,"59"
"138","tt0013086",4768,"dr. mabuse: the gambler",1922,"242"
"139","tt0013134",120208,"flesh and blood",1922,"74"
"140","tt0013140",7288,"foolish wives",1922,"117"
"141","tt0013201",110048,"grandma's boy",1922,"60"
"142","tt0013257",25744,"häxan",1922,"91"
"143","tt0013367",25745,"the man from beyond",1922,"74"
"144","tt0013372",8038,"manslaughter",1922,"100"
"145","tt0013386",117482,"merry-go-round",1923,"110"
"146","tt0013427",44587,"nanook of the north",1922,"78"
"147","tt0013442",1348,"nosferatu",1922,"94"
"148","tt0013496",88278,"phantom",1922,"125"
"149","tt0013501",163498,"polikushka",1922,"50"
"150","tt0013556",56626,"robin hood",1922,"143"
"151","tt0013571",147682,"salomé",1922,"72"
"152","tt0013579",47129,"warning shadows",1923,"90"
"153","tt0013597",139873,"sherlock holmes",1922,"85"
"154","tt0013626",90306,"the smiling madame beudet",1923,"54"
"155","tt0013662",3195,"tess of the storm country",1922,"137"
"156","tt0013674",163424,"the three must-get-theres",1922,"58"
"157","tt0013688",72344,"the toll of the sea",1922,"54"
"158","tt0013741",110409,"the loves of pharaoh",1922,"100"
"159","tt0013802",131427,"the young rajah",1922,"54"
"160","tt0014029",156244,"the extra girl",1923,"68"
"161","tt0014109",72854,"the saga of gösta berling",1924,"183"
"162","tt0014142",25746,"the hunchback of notre dame",1923,"133"
"163","tt0014341",8609,"our hospitality",1923,"65"
"164","tt0014358",71187,"the pilgrim",1923,"47"
"165","tt0014417",78376,"the wheel",1923,"273"
"166","tt0014429",8235,"safety last!",1923,"70"
"167","tt0014440",165083,"scaramouche",1923,"124"
"168","tt0014446",133573,"the treasure",1923,"80"
"169","tt0014497",88591,"souls for sale",1923,"90"
"170","tt0014524",157549,"new year's eve",1924,"66"
"171","tt0014532",77433,"the ten commandments",1923,"136"
"172","tt0014538",3140,"three ages",1923,"63"
"173","tt0014586",84176,"waxworks",1924,"65"
"174","tt0014605",122397,"the white sister",1923,"143"
"175","tt0014611",25747,"why worry?",1923,"63"
"176","tt0014624",3641,"a woman of paris: a drama of fate",1923,"82"
"177","tt0014646",71999,"aelita: queen of mars",1924,"111"
"178","tt0014672",108639,"america",1924,"141"
"179","tt0014702",106188,"beau brummel",1924,"135"
"180","tt0014760",116439,"captain january",1924,"64"
"181","tt0014770",72363,"the chechahcos",1923,"87"
"182","tt0014900",81432,"finances of the grand duke",1924,"80"
"183","tt0014945",49668,"girl shy",1924,"87"
"184","tt0014972",25748,"he who gets slapped",1924,"95"
"185","tt0015002",122747,"hot water",1924,"60"
"186","tt0015014",166550,"the inhuman woman",1924,"135"
"187","tt0015016",57480,"the iron horse",1924,"150"
"188","tt0015036",107194,"edmund kean: prince among lovers",1924,"136"
"189","tt0015039",92658,"kino eye",1924,"78"
"190","tt0015064",4405,"the last laugh",1924,"77"
"191","tt0015119",25749,"the marriage circle",1924,"85"
"192","tt0015136",47135,"michael",1924,"93"
"193","tt0015152",109062,"mustalaishurmaaja",1929,"69"
"194","tt0015163",7074,"the navigator",1924,"59"
"195","tt0015167",72001,"the extraordinary adventures of mr. west in the land of the bolsheviks",1924,"94"
"196","tt0015174",45194,"die nibelungen: kriemhild's revenge",1924,"129"
"197","tt0015175",45192,"die nibelungen: siegfried",1924,"143"
"198","tt0015202",74164,"the hands of orlac",1924,"92"
"199","tt0015213",97319,"the cigarette girl of mosselprom",1924,"78"
"200","tt0015224",141301,"peter pan",1924,"105"
"201","tt0015268",123812,"the red lily",1924,"81"
"202","tt0015310",124490,"the sea hawk",1924,"123"
"203","tt0015324",25750,"sherlock jr.",1924,"45"
"204","tt0015361",68173,"strike",1925,"82"
"205","tt0015400",7302,"the thief of bagdad",1924,"155"
"206","tt0015493",106466,"white shadows",1924,"82"
"207","tt0015498",112471,"wild oranges",1924,"88"
"208","tt0015532",40033,"the adventures of prince achmed",1926,"81"
"209","tt0015589",98751,"the awful truth",1925,"60"
"210","tt0015624",25751,"the big parade",1925,"151"
"211","tt0015634",141564,"body and soul",1925,"102"
"212","tt0015648",3742,"battleship potemkin",1925,"75"
"213","tt0015684",98213,"the circle",1925,"71"
"214","tt0015687",73158,"clash of the wolves",1925,"74"
"215","tt0015693",2777,"cobra",1925,"70"
"216","tt0015758",63692,"don q son of zorro",1925,"111"
"217","tt0015768",111347,"master of the house",1925,"111"
"218","tt0015801",104480,"the living dead man",1926,"170"
"219","tt0015841",25752,"the freshman",1925,"76"
"220","tt0015842",88638,"the joyless street",1925,"125"
"221","tt0015863",3133,"go west",1925,"68"
"222","tt0015864",3629,"the gold rush",1925,"95"
"223","tt0015873",120787,"grass: a nation's battle for life",1925,"71"
"224","tt0015881",25753,"greed",1924,"140"
"225","tt0016004",73125,"lady windermere's fan",1925,"120"
"226","tt0016013",87745,"lazybones",1925,"80"
"227","tt0016022",96962,"lightnin'",1925,"104"
"228","tt0016029",91286,"the little colonel",1935,"81"
"229","tt0016039",4277,"the lost world",1925,"106"
"230","tt0016104",85205,"the merry widow",1925,"137"
"231","tt0016123",68899,"the monster",1925,"86"
"232","tt0016201",78093,"parisian love",1925,"70"
"233","tt0016220",25755,"the phantom of the opera",1925,"93"
"234","tt0016226",93263,"the plastic age",1925,"73"
"235","tt0016230",2229,"the pleasure garden",1925,"75"
"236","tt0016232",151038,"poil de carotte",1925,"108"
"237","tt0016258",116557,"the rag man",1925,"68"
"238","tt0016276",142767,"the red kimona",1925,"77"
"239","tt0016310",147605,"the salvation hunters",1925,"70"
"240","tt0016332",3232,"seven chances",1925,"56"
"241","tt0016392",155551,"the city without jews",1924,"80"
"242","tt0016394",125461,"stage struck",1925,"70"
"243","tt0016473",60227,"the unholy three",1925,"86"
"244","tt0016480",122373,"the vanishing american",1925,"110"
"245","tt0016481",73137,"variety",1925,"72"
"246","tt0016493",173679,"the imaginary voyage",1926,"80"
"247","tt0016544",79287,"the wizard of oz",1925,"81"
"248","tt0016627",148301,"bardelys the magnificent",1926,"90"
"249","tt0016629",115620,"the bat",1926,"86"
"250","tt0016630",3012,"battling butler",1926,"77"
"251","tt0016634",141170,"beau geste",1926,"101"
"252","tt0016640",3517,"the bells",1926,"68"
"253","tt0016641",6986,"ben-hur: a tale of the christ",1925,"143"
"254","tt0016654",7309,"the black pirate",1926,"88"
"255","tt0016655",64923,"the blackbird",1926,"86"
"256","tt0016669",98171,"la bohème",1926,"95"
"257","tt0016672",109481,"the boob",1926,"64"
"258","tt0016690",80827,"brown of harvard",1926,"85"
"259","tt0016691",114595,"the bridal party in hardanger",1926,"104"
"260","tt0016804",117618,"don juan",1926,"110"
"261","tt0016822",165387,"ella cinders",1926,"75"
"262","tt0016829",98398,"everybody's acting",1926,"70"
"263","tt0016832",119766,"exit smiling",1926,"77"
"264","tt0016847",4404,"faust",1926,"85"
"265","tt0016884",76089,"flesh and the devil",1926,"112"
"266","tt0016895",87763,"for heaven's sake",1926,"58"
"267","tt0016914",44931,"secrets of a soul",1926,"97"
"268","tt0016938",121618,"the great gatsby",1926,"80"
"269","tt0016939",63134,"the great k & a train robbery",1926,"53"
"270","tt0016953",158137,"der heilige berg",1926,"100"
"271","tt0017029",116471,"kiki",1926,"108"
"272","tt0017048",60353,"a page of madness",1926,"70"
"273","tt0017075",2227,"the lodger",1927,"68"
"274","tt0017103",138890,"the magician",1926,"83"
"275","tt0017119",91854,"mantrap",1926,"86"
"276","tt0017120",122950,"mare nostrum",1926,"102"
"277","tt0017128",71978,"mother",1926,"89"
"278","tt0017136",2010,"metropolis",1927,"153"
"279","tt0017162",73141,"moana",1926,"77"
"280","tt0017196",122675,"nana",1926,"150"
"281","tt0017226",161368,"old ironsides",1926,"111"
"282","tt0017271",120761,"po zakonu",1926,"80"
"283","tt0017350",957,"the scarlet letter",1926,"115"
"284","tt0017372",174759,"shagay, sovet!",1926,"65"
"285","tt0017374",114172,"the shamrock handicap",1926,"66"
"286","tt0017376",87378,"the sixth part of the world",1926,"68"
"287","tt0017416",3492,"the son of the sheik",1926,"68"
"288","tt0017418",146044,"sorok pervyy",1927,"66"
"289","tt0017423",2957,"sparrows",1926,"110"
"290","tt0017437",68216,"the strong man",1926,"75"
"291","tt0017448",42629,"tartuffe",1925,"74"
"292","tt0017449",88595,"the temptress",1926,"117"
"293","tt0017463",57484,"3 bad men",1926,"92"
"294","tt0017534",80799,"west point",1927,"95"
"295","tt0017540",91494,"what price glory",1926,"116"
"296","tt0017567",63280,"the winning of barbara worth",1926,"89"
"297","tt0017621",143835,"a daughter of destiny",1928,"108"
"298","tt0017632",165751,"annie laurie",1927,"90"
"299","tt0017668",7914,"berlin: symphony of a great city",1927,"65"
"300","tt0017739",32060,"the cat and the canary",1927,"108"
"301","tt0017743",85387,"chang: a drama of the wilderness",1927,"69"
"302","tt0017750",79872,"chicago",1927,"118"
"303","tt0017765",8275,"college",1927,"66"
"304","tt0017809",134011,"the girl with the hat box",1927,"60"
"305","tt0017825",2224,"when boys leave home",1927,"80"
"306","tt0017843",2225,"easy virtue",1928,"80"
"307","tt0017918",63688,"the gaucho",1927,"115"
"308","tt0017925",3022,"the general",1926,"67"
"309","tt0017961",72643,"happiness",1935,"95"
"310","tt0017998",155802,"fanny hawthorne",1927,"120"
"311","tt0018033",7253,"it",1927,"72"
"312","tt0018037",25757,"the jazz singer",1927,"88"
"313","tt0018051",8423,"the kid brother",1927,"82"
"314","tt0018054",8480,"the king of kings",1927,"155"
"315","tt0018066",71685,"the end of st. petersburg",1927,"85"
"316","tt0018097",60231,"london after midnight",1927,"69"
"317","tt0018102",123800,"long pants",1927,"60"
"318","tt0018107",175951,"love",1927,"82"
"319","tt0018166",123383,"mockery",1927,"75"
"320","tt0018179",64897,"mr. wu",1927,"91"
"321","tt0018183",3023,"my best girl",1927,"80"
"322","tt0018187",151111,"le mystère de la tour eiffel",1927,"129"
"323","tt0018192",58649,"napoleon",1927,"240"
"324","tt0018217",25759,"october (ten days that shook the world)",1928,"142"
"325","tt0018218",25760,"old san francisco",1927,"88"
"326","tt0018253",87266,"the patent leather kid",1927,"150"
"327","tt0018311",159958,"the red mill",1927,"74"
"328","tt0018328",2226,"the ring",1927,"116"
"329","tt0018379",69771,"7th heaven",1927,"110"
"330","tt0018392",159429,"shooting stars",1928,"80"
"331","tt0018397",139399,"the show",1927,"76"
"332","tt0018440",83662,"spring fever",1927,"78"
"333","tt0018451",82306,"the student prince in old heidelberg",1927,"106"
"334","tt0018455",8125,"sunrise",1927,"94"
"335","tt0018471",60225,"tell it to the marines",1926,"103"
"336","tt0018515",87290,"two arabian knights",1927,"92"
"337","tt0018523",72651,"the horse ate the hat",1928,"60"
"338","tt0018526",79874,"underworld",1927,"80"
"339","tt0018528",25762,"the unknown",1927,"63"
"340","tt0018530",97026,"upstream",1927,"60"
"341","tt0018566",159965,"when a man loves",1927,"111"
"342","tt0018578",1925,"wings",1927,"144"
"343","tt0018618",110227,"across to singapore",1928,"85"
"344","tt0018737",25763,"pandora's box",1929,"109"
"345","tt0018742",25764,"the cameraman",1928,"69"
"346","tt0018756",2222,"champagne",1928,"86"
"347","tt0018770",25765,"the fall of the house of usher",1928,"63"
"348","tt0018773",3306,"the circus",1928,"72"
"349","tt0018795",125143,"the cossacks",1928,"92"
"350","tt0018806",25766,"the crowd",1928,"98"
"351","tt0018826",159433,"two timid souls",1928,"87"
"352","tt0018836",123139,"the divine woman",1928,"80"
"353","tt0018839",71695,"the docks of new york",1928,"76"
"354","tt0018876",2223,"the farmer's wife",1928,"100"
"355","tt0018908",121889,"the four feathers",1929,"81"
"356","tt0018909",58061,"four sons",1928,"100"
"357","tt0018935",112950,"geschlecht in fesseln",1928,"107"
"358","tt0018937",114571,"a girl in every port",1928,"78"
"359","tt0018972",58081,"hangman's house",1928,"80"
"360","tt0019067",113947,"a lady of chance",1928,"78"
"361","tt0019071",51894,"the last command",1928,"88"
"362","tt0019074",57478,"laugh, clown, laugh",1928,"73"
"363","tt0019096",161358,"lights of new york",1928,"57"
"364","tt0019109",96421,"lonesome",1928,"69"
"365","tt0019130",25767,"the man who laughs",1928,"110"
"366","tt0019195",87919,"the mysterious lady",1928,"96"
"367","tt0019225",92410,"the eleventh year",1928,"52"
"368","tt0019237",78224,"our dancing daughters",1928,"85"
"369","tt0019254",6985,"the passion of joan of arc",1928,"110"
"370","tt0019258",79327,"the patsy",1928,"78"
"371","tt0019286",72283,"storm over asia",1928,"127"
"372","tt0019304",86858,"the racket",1928,"84"
"373","tt0019344",25768,"sadie thompson",1928,"97"
"374","tt0019379",68974,"show people",1928,"83"
"375","tt0019400",68254,"the smart set",1928,"80"
"376","tt0019403",153258,"salt for svanetia",1930,"55"
"377","tt0019412",32551,"speedy",1928,"85"
"378","tt0019415",48851,"spies",1928,"178"
"379","tt0019421",25769,"steamboat bill, jr.",1928,"70"
"380","tt0019429",83833,"street angel",1928,"102"
"381","tt0019434",121875,"submarine",1928,"93"
"382","tt0019451",134540,"tempest",1928,"102"
"383","tt0019486",154751,"the tournament",1928,"90"
"384","tt0019489",145322,"the trail of '98",1928,"87"
"385","tt0019509",146564,"underground",1928,"84"
"386","tt0019532",82017,"the viking",1928,"90"
"387","tt0019557",122155,"weary river",1929,"86"
"388","tt0019558",71743,"the wedding march",1928,"113"
"389","tt0019563",60223,"west of zanzibar",1928,"65"
"390","tt0019571",123526,"while the city sleeps",1928,"66"
"391","tt0019574",72897,"white shadows in the south seas",1928,"88"
"392","tt0019585",43699,"the wind",1928,"95"
"393","tt0019591",78715,"a woman of affairs",1928,"98"
"394","tt0019611",168104,"zvenigora",1928,"109"
"395","tt0019630",85576,"alibi",1929,"91"
"396","tt0019644",25770,"applause",1929,"80"
"397","tt0019646",162320,"l'argent",1928,"195"
"398","tt0019649",72290,"arsenal",1929,"90"
"399","tt0019655",83308,"asphalt",1929,"90"
"400","tt0019684",113803,"behind that curtain",1929,"91"
"401","tt0019699",66662,"the black watch",1929,"93"
"402","tt0019702",2221,"blackmail",1929,"85"
"403","tt0019725",97061,"broadway",1929,"104"
"404","tt0019726",166824,"broadway babies",1929,"86"
"405","tt0019729",1926,"the broadway melody",1929,"100"
"406","tt0019735",88818,"bulldog drummond",1929,"90"
"407","tt0019760",6433,"man with a movie camera",1929,"68"
"408","tt0019777",33312,"the cocoanuts",1929,"96"
"409","tt0019788",73967,"coquette",1929,"76"
"410","tt0019813",160806,"the desert song",1929,"123"
"411","tt0019823",83376,"disraeli",1929,"90"
"412","tt0019824",124795,"the divine lady",1929,"99"
"413","tt0019843",95563,"dynamite",1929,"129"
"414","tt0019850",123975,"seduction",1929,"85"
"415","tt0019886",95581,"the flying fleet",1929,"100"
"416","tt0019901",81656,"woman in the moon",1929,"156"
"417","tt0019935",60896,"the godless girl",1929,"113"
"418","tt0019946",71216,"the great gabbo",1929,"92"
"419","tt0019959",42886,"hallelujah",1929,"109"
"420","tt0019993",75831,"the hollywood revue of 1929",1929,"130"
"421","tt0020018",87954,"in old arizona",1928,"95"
"422","tt0020030",59846,"the iron mask",1929,"95"
"423","tt0020062",101450,"the kiss",1929,"89"
"424","tt0020075",88993,"laila",1929,"165"
"425","tt0020092",87773,"the letter",1929,"65"
"426","tt0020103",160323,"the locked door",1929,"74"
"427","tt0020112",79955,"the love parade",1929,"107"
"428","tt0020114",92925,"the love trap",1929,"71"
"429","tt0020122",87415,"lucky star",1929,"100"
"430","tt0020142",2220,"the manxman",1929,"110"
"431","tt0020163",72844,"people on sunday",1930,"73"
"432","tt0020198",124765,"the mysterious island",1929,"95"
"433","tt0020210",116517,"navy blues",1929,"77"
"434","tt0020217",152539,"new york nights",1929,"82"
"435","tt0020223",85618,"noah's ark",1928,"135"
"436","tt0020230",119946,"the new babylon",1929,"120"
"437","tt0020247",110056,"our modern maidens",1929,"76"
"438","tt0020269",48299,"piccadilly",1929,"92"
"439","tt0020298",70833,"queen kelly",1929,"101"
"440","tt0020336",116020,"chasing rainbows",1930,"96"
"441","tt0020425",141612,"so this is college",1929,"98"
"442","tt0020439",108799,"speedway",1929,"76"
"443","tt0020442",46525,"spite marriage",1929,"76"
"444","tt0020446",87798,"the squall",1929,"105"
"445","tt0020466",161876,"sunnyside up",1929,"121"
"446","tt0020475",32811,"diary of a lost girl",1929,"104"
"447","tt0020479",124633,"the taming of the shrew",1929,"63"
"448","tt0020488",124595,"their own desire",1929,"65"
"449","tt0020499",142644,"thunderbolt",1929,"85"
"450","tt0020514",78713,"the trespasser",1929,"90"
"451","tt0020523",153340,"turksib",1929,"57"
"452","tt0020556",174867,"the virginian",1929,"91"
"453","tt0020570",86173,"white hell of pitz palu",1929,"150"
"454","tt0020581",94790,"where east is east",1929,"65"
"455","tt0020585",123115,"why be good?",1929,"84"
"456","tt0020589",122643,"wild orchids",1929,"100"
"457","tt0020590",132749,"the wild party",1929,"77"
"458","tt0020594",3297,"with byrd at the south pole",1930,"82"
"459","tt0020620",101400,"abraham lincoln",1930,"96"
"460","tt0020629",1927,"all quiet on the western front",1930,"136"
"461","tt0020640",7706,"animal crackers",1930,"97"
"462","tt0020641",8518,"anna christie",1930,"89"
"463","tt0020656",151105,"au bonheur des dames",1930,"85"
"464","tt0020668",3151,"the bat whispers",1930,"83"
"465","tt0020686",43383,"the big house",1930,"87"
"466","tt0020691",6443,"the big trail",1930,"125"
"467","tt0020693",133227,"billy the kid",1930,"98"
"468","tt0020695",87662,"the bishop murder case",1930,"88"
"469","tt0020697",4970,"the blue angel",1930,"106"
"470","tt0020701",155549,"borderline",1930,"63"
"471","tt0020702",58120,"born reckless",1930,"82"
"472","tt0020713",110761,"bright lights",1930,"69"
"473","tt0020768",67925,"city girl",1930,"77"
"474","tt0020793",88352,"escape from dartmoor",1929,"88"
"475","tt0020799",163254,"the cuckoos",1930,"97"
"476","tt0020814",151036,"david golder",1931,"86"
"477","tt0020815",54239,"the dawn patrol",1930,"108"
"478","tt0020821",82055,"the devil to pay!",1930,"72"
"479","tt0020827",8424,"the divorcee",1930,"84"
"480","tt0020836",87966,"the doorway to hell",1930,"78"
"481","tt0020838",96954,"doughboys",1930,"79"
"482","tt0020852",2217,"elstree calling",1930,"86"
"483","tt0020876",81952,"feet first",1930,"93"
"484","tt0020891",161272,"the florodora girl",1930,"79"
"485","tt0020902",120398,"free and easy",1930,"92"
"486","tt0020919",81123,"the girl said no",1930,"93"
"487","tt0020945",146481,"half shot at sunrise",1930,"78"
"488","tt0020960",31042,"hell's angels",1930,"127"
"489","tt0020980",139793,"walk cheerfully",1930,"95"
"490","tt0020987",148316,"hook line and sinker",1930,"75"
"491","tt0021015",2218,"the shame of mary boyle",1930,"85"
"492","tt0021016",88857,"just imagine",1930,"113"
"493","tt0021025",87595,"king of jazz",1930,"98"
"494","tt0021040",116167,"ladies of leisure",1930,"99"
"495","tt0021042",159955,"the lady of scandal",1930,"76"
"496","tt0021060",123671,"let us be gay",1930,"79"
"497","tt0021074",85203,"liliom",1930,"94"
"498","tt0021079",25773,"little caesar",1931,"79"
"499","tt0021087",122009,"loose ankles",1930,"69"
"500","tt0021100",161242,"love in the rough",1930,"84"
"501","tt0021106",82045,"madam satan",1930,"116"
"502","tt0021110",79285,"mammy",1930,"84"
"503","tt0021140",114188,"men without women",1930,"77"
"504","tt0021148",49371,"min and bill",1930,"69"
"505","tt0021153",84125,"monte carlo",1930,"90"
"506","tt0021156",31854,"morocco",1930,"92"
"507","tt0021165",2219,"murder!",1930,"104"
"508","tt0021189",130130,"not so dumb",1930,"76"
"509","tt0021197",155026,"the office wife",1930,"59"
"510","tt0021223",110609,"our blushing brides",1930,"102"
"511","tt0021228",111368,"paid",1930,"86"
"512","tt0021240",121931,"passion flower",1930,"79"
"513","tt0021273",116863,"beauty prize",1930,"93"
"514","tt0021281",87260,"raffles",1930,"72"
"515","tt0021282",108951,"rain or shine",1930,"88"
"516","tt0021283",154604,"i flunked, but...",1930,"65"
"517","tt0021294",80746,"remote control",1930,"65"
"518","tt0021309",153640,"the story of the fox",1930,"63"
"519","tt0021310",116867,"romance",1930,"76"
"520","tt0021331",50619,"the blood of a poet",1932,"55"
"521","tt0021345",158506,"the sea bat",1930,"73"
"522","tt0021371",166850,"show girl in hollywood",1930,"80"
"523","tt0021375",92245,"enthusiasm",1931,"67"
